title,link,description,type
Information Hygiene for the COVID-19 Infodemic,https://infodemic.blog/,Clear and comprehensive set of easily-implemented tips for navigating information about COVID-19 online.,info
Stigma and Resilience,https://www.cdc.gov/coronavirus/2019-ncov/about/related-stigma.html,CDC guidance on countering stigma and sharing accurate information during public health emergencies.,info
Coronavirus disease (COVID-19) advice for the public: Myth busters,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,Information from the World Health Organization on debunking COVID-19 myths.,info
Elsevier’s Novel Coronavirus Information Center,https://www.elsevier.com/connect/coronavirus-information-center,Elsevier’s non-paywalled archive of health and medical research on novel coronavirus (2019-nCoV).,research
The Lancet Coronavirus Resource Centre,https://www.thelancet.com/coronavirus,The Lancet's non-paywalled resource centre brings together new 2019 novel coronavirus disease (COVID-19) content from across The Lancet journals as it is published.,research
The New England Journal of Medicine Coronavirus (COVID-19) Information,https://www.nejm.org/coronavirus,"A non-paywalled collection of articles and other resources on the Coronavirus (COVID-19) outbreak, including clinical reports, management guidelines, and commentary.",research
Oxford University Press Free Access to Resources on Coronavirus,https://academic.oup.com/journals/pages/coronavirus?cc=us&lang=en&,"Oxford University Press' non-paywalled content to assist researchers, medical professionals, policy makers, and others who are working to address this potential health crisis.",research
Springer Nature Group SARS-CoV-2 and COVID-19 Information,https://www.springernature.com/gp/researchers/campaigns/coronavirus,"Springer's non-paywalled access to COVID-19 related research articles from Springer journals, as well as additional commentary and relevant ebooks.",research
SSRN Coronavirus and Infectious Disease Research,https://www.ssrn.com/index.cfm/en/coronavirus/,"SSRN’s non-paywalled Coronavirus and Infectious Disease Research page provides a curated view into the early-stage research to help researchers, public health authorities, clinicians and the public understand, contain and manage this disease.",research
Wiley's Novel Coronavirus Resources & News,https://docs.google.com/spreadsheets/d/1AlUW7ob68Z1mJCzQQdw-mK1-bUQnuDgIvSQSAS3pHHU/edit#gid=0&range=A17,"Wiley's non-paywalled information about COVID-19 free to access. In addition to articles related to the current outbreak, Wiley is also making a collection of journal articles and our book chapters on coronavirus research freely available to the global scientific community.",research
Coronavirus Site (Clarivate Analytics),https://docs.google.com/spreadsheets/d/1AlUW7ob68Z1mJCzQQdw-mK1-bUQnuDgIvSQSAS3pHHU/edit#gid=0&range=A19,"Selected complimentary access to research published on the Coronavirus (COVID-19) from Clarivate Analytics, including some articles from the Web of Science.",research
Statista Report - The coronavirus disease (COVID-19) outbreak 2019-20,https://docs.google.com/spreadsheets/d/1AlUW7ob68Z1mJCzQQdw-mK1-bUQnuDgIvSQSAS3pHHU/edit#gid=0&range=A21,This dossier provides some of the most recent data relating to the ongoing coronavirus disease (COVID-19) outbreak.,research
Wolters Kluwer COVID-19 resources,https://coronavirus.ovidds.com/,"""Resources to support rapid response healthcare teams and researchers working to address the global coronavirus"" including open articles, updates, and an article feed",research
PubMed,https://pubmed.ncbi.nlm.nih.gov/?term=2019-nCoV,Recent research on COVID-19,research
State of Idaho Official COVID-19 Resources Page,https://coronavirus.idaho.gov/,Official Idaho page for updates and information regading the state response to the COVID-19 situation,gov
Centers for Disease Control and Prevention,https://www.cdc.gov/coronavirus/2019-ncov/index.html,"The CDC's portal for updates, educational information, and situation-specific resources relating to COVID-19",gov
World Health Organization,https://www.who.int/emergencies/diseases/novel-coronavirus-2019,Ongoing updates tracking the situation internationally,gov
