title,date,description,instructor,materials
"Introduction to Using Web APIs",2019-02-27,"Many websites provide Application Programming Interfaces (APIs) that allow users to access data and services via simple web queries. For example, you might want to retrieve a historic image, harvest the latest tweets, or run sentiment analysis on a text. <span id=""api"" class=""collapse"">This session will use several examples to introduce the basics of understanding and using server-side web APIs, including the IIIF image API, Chronicling America historic newspaper API, and Text Processing Sentiment Analysis demo. We will learn how to construct queries as HTTP GET and POST requests to retrieve information from services, and introduce ways to integrate them with tools such as commandline, programming languages, or OpenRefine.</span><a role=""button"" data-toggle=""collapse"" data-target=""#api"" class=""expand""><span class=""fas fa-plus-circle""></span></a>","<a href=""http://vivo.nkn.uidaho.edu/vivo/individual/n43629"">Evan Williamson</a>","<a href=""https://evanwill.github.io/hey-api/"" target=""_blank""><span class=""fas fa-link""></span>Website</a>"
"Teaching Digital Humanities with Analog Tools: Text Mining",2019-02-20,"It's difficult to guarantee access to the range of tools needed to bring digital humanities into the standard classroom, especially when it's not feasible to schedule every single class session in a computer lab. <span id=""dhana"" class=""collapse"">But one of the most exciting aspects of digital humanities is that it's what we do with the tools, not the tools themselves, that matters. This session introduces the basics of text mining, a technique that provides several different approaches to exploring and reading large swaths of information, and sends you home with an activity that you can adapt and use to introduce your students to text mining, no matter your discipline or the digital capacity of your classroom.</span><a role=""button"" data-toggle=""collapse"" data-target=""#dhana"" class=""expand""><span class=""fas fa-plus-circle""></span></a>","<a href=""http://vivo.nkn.uidaho.edu/individual/n263285"">Olivia Wikle</a>","<a href=""https://owikle.github.io/dh-analog/"" target=""_blank""><span class=""fas fa-link""></span>Website</a>"
"Textual Analysis and Digital Tools for Writers",2018-11-28,"Analyze your own writing using a variety of digital scholarship tools, including those that provide sentiment analysis, corpora comparisons, and visualizations and insights of all kinds.","<a href=""http://vivo.nkn.uidaho.edu/vivo/individual/n8136"">Devin Becker</a>","<a href=""https://dcnb.github.io/text-analysis-for-writers/"" target=""_blank""><span class=""fas fa-link""></span>Website</a>"
"Introduction to Text Encoding for Digital Humanities Scholarship and Teaching",2018-11-14,"Ever wish for a new way to approach the texts you study? Encoding text in a machine-readable language can present exciting opportunities for research and teaching, and may be applied to documents with content as wide ranging as comics and music notation. <span id=""tei"" class=""collapse"">This workshop introduces text encoding and demonstrates examples of its scholarly and educational uses. This is an introduction for beginners from all backgrounds, no experience with coding required.</span><a role=""button"" data-toggle=""collapse"" data-target=""#tei"" class=""expand""><span class=""fas fa-plus-circle""></span></a>","<a href=""http://vivo.nkn.uidaho.edu/individual/n263285"">Olivia Wikle</a>","<a href=""https://www.lib.uidaho.edu/media/workshops/wikle-teworkshop-2018.11.14.pdf"" target=""_blank""><span class=""fas fa-file""></span>Slides</a>"
"Introduction to SPSS",2018-10-24,"SPSS is a statistical analysis program which combines ease of use with a wide variety of data processing and analysis options. It is available on all library computers, and through Vlab.",Amanda Pavlov Culley,"<a href=""https://www.lib.uidaho.edu/media/workshops/intro_SPSS_Culley.pdf"" target=""_blank""><span class=""fas fa-file""></span>Slides</a><br><a href=""https://www.lib.uidaho.edu/media/workshops/Student-survey.sav"" target=""_blank""><span class=""fas fa-table""></span>Data</a>"
"Introduction to Creative Commons Licenses",2018-09-26,"Do you want to make your work more available and encourage its reuse while also protecting your copyright? This workshop will discuss the basics of CC licenses, including: what they are, how to apply them, and how to find and use CC-licensed material.","<a href=""http://vivo.nkn.uidaho.edu/individual/n104190"">Jylisa Doney</a>","<a href=""https://www.lib.uidaho.edu/media/workshops/IntroductiontoCreativeCommons_LibraryWorkshop_Slides_20180926.pdf"" target=""_blank""><span class=""fas fa-file""></span>Slides</a>"
How to Create Publication-Quality Figures,2018-04-25,"You have spent months, if not years, working on your research project, and you are finally ready to share it with the world. Next that high-impact journal article needs to be accompanied by high-impact figures. <span id=""figures"" class=""collapse"">In this 30-minute presentation, we will introduce you to some tips and tricks to create journal-ready figures. While we won’t cover all topics related to figure design, we will discuss the technical and practical issues involved with turning your results into something that can be proudly displayed in print or on a computer screen.</span><a role=""button"" data-toggle=""collapse"" data-target=""#figures"" class=""expand""><span class=""fas fa-plus-circle""></span></a>",Carrie Roever and Gina Wilson,"<a href=""https://www.lib.uidaho.edu/media/workshops/figures_roever_2018.pdf"" target=""_blank""><span class=""fas fa-file""></span>Slides</a><br>"
"Combining the Power of ArcGIS, Jupyter Notebook, and R",2018-04-11,"<a href=""https://pro.arcgis.com/en/pro-app/"" target=""_blank"">ArcGIS Pro</a>, a newer desktop GIS product, offers the ability for integration with open-source software such as the <a href=""https://www.r-project.org/"">R</a> to perform statistical analysis and <a href=""http://jupyter.org/"">Jupyter Notebook</a> to prototype geoprocessing workflows in an interactive manner. <span id=""arcpror"" class=""collapse"">This presentation will provide attendees with information about how to configure these tools to work together and will show simple examples of integrating ArcGIS spatial data into R and Jupyter Notebook.</span><a role=""button"" data-toggle=""collapse"" data-target=""#arcpror"" class=""expand""><span class=""fas fa-plus-circle""></span></a>","<a href=""http://vivo.nkn.uidaho.edu/vivo/individual/n1633553470"">Bruce Godfrey</a>","<a href=""https://www.lib.uidaho.edu/media/workshops/arcgis-pro-r-jupyter_godfrey.pdf"" target=""_blank""><span class=""fas fa-file""></span>Slides</a><br>"
Introduction to Linux!,2018-03-29,"Want to get started with Raspberry Pi or Linux on your laptop? This workshop will introduce the most popular operating system in the world! <span id=""linux"" class=""collapse"">Although most people are more familiar with Windows or Mac, Linux OS runs the vast majority of web servers, super computers, smartphones (Android), TVs, and other electronic devices. You can also use desktop versions for free on your laptop or home computer! Come get an introduction to free and open source operating systems, and see desktop versions of Linux in action on Raspberry Pi and laptops. We will get oriented to the basics of the desktop, burn USB/SD images, and learn how to install it on a computer.</span><a role=""button"" data-toggle=""collapse"" data-target=""#linux"" class=""expand""><span class=""fas fa-plus-circle""></span></a>","<a href=""http://vivo.nkn.uidaho.edu/vivo/individual/n43629"">Evan Williamson</a>","<a href=""https://evanwill.github.io/_drafts/notes/linux-workshop.html"" target=""_blank""><span class=""fas fa-link""></span>Website</a>"
Visual Programming with ArcGIS ModelBuilder,2018-03-21,"<a href=""http://pro.arcgis.com/en/pro-app/help/analysis/geoprocessing/modelbuilder/what-is-modelbuilder-.htm"" target=""_blank"">ModelBuilder</a>, included with ArcGIS Desktop and ArcGIS Pro, provides a visual drag-and-drop interface (i.e. no coding required) to create geoprocessing models that automate GIS workflows. <span id=""modelbuilder"" class=""collapse"">ModelBuilder is a valuable tool for stringing together geoprocessing tools to conduct spatial analysis. If you need to visually represent a GIS workflow for a presentation or publication or if you need to create a reusable tool for repeatability and efficiency ModelBuilder might be helpful to you. This presentation will provide an introduction to ModelBuilder and attendees will leave with a basic understanding of its capabilities enabling them to determine if it is useful for their needs.</span><a role=""button"" data-toggle=""collapse"" data-target=""#modelbuilder"" class=""expand""><span class=""fas fa-plus-circle""></span></a>","<a href=""http://vivo.nkn.uidaho.edu/vivo/individual/n1633553470"">Bruce Godfrey</a>","<a href=""https://www.lib.uidaho.edu/media/workshops/arcgis-modelbuilder-godfrey.pdf"" target=""_blank""><span class=""fas fa-file""></span>Slides</a><br>"
