week,date,presenter,presenterlink,title,description,bio
1,"August 27, 2024",Ashley Kerr (Global Studies),https://verso.uidaho.edu/esploro/profile/ashley_kerr/,Animal Aristocrats: Social Class and the Buenos Aires Zoo,"In the early twentieth century, the Buenos Aires Zoo was the most visited zoo in the world. In addition to teaching Argentines about animals, the zoo and its representations contributed to social debates. With respect to labor and class, Argentine authors developed the image of an aristocratic zoo populated by animals living in luxury and contrasted with “proletariat” animals like horses and donkeys. Although this image was consistent across genres and political ideologies, it (and the physical zoo itself) were put to very different uses by diverse social groups. Some supported emerging labor movements, while others engaged the same tropes to defend the status quo. This talk traces those projects and asks if there can be interspecies solidarity when it comes to workers’ rights. 

**Ashley Kerr** is an associate professor in the University of Idaho’s School of Global Studies. She received her PhD in Spanish from the University of Virginia. Her first book, *Sex, Skulls, and Citizens: Gender and Racial Science in Argentina* *(1860-1910)*, was named the 2020 Best Book by the Nineteenth Century Studies section of the Latin American Studies Association. Her second book, which will be published in 2025, analyzes how the Buenos Aires Zoo and its animals were used to shape Argentine society at the turn of the century.",
2,"September 3, 2024","Dylan Champagne, Music",https://www.dylanchampagne.com/,Reconceiving Silence: Contemporary Composing for Silent Film,"Music has accompanied film since the beginning, but with the advent of “talkies,” music’s role began to take a different shape. What does it mean to compose live music for silent era films, but from a modern vantage situated within the context of nearly a century’s worth of film music evolution? Dylan will discuss his process and thoughts about writing music for the four silent films he has scored and share some insights about the particular challenges and rewards of this art form.

**Dylan Champagne** is a composer, performer, audio engineer, educator, and post-production professional. His music ranges from avant-garde to accessible, from chamber music to prog-punk, and is heavily informed by the 15+ years he spent involved in the underground San Francisco Bay Area music scene. He has been an active member of the Immersion Composition Society since 2001 and has written for film, silent film, chamber groups / mixed ensembles, British brass band, wind ensemble, orchestra, rock trio & quartet, and electronics. Champagne's music has been performed by numerous groups and performers including The Cory Band, The Berkeley Ensemble, The Torch Quartet, and duality. Champagne is a lecturer of music composition and DAW at the Lionel Hampton School of Music at the University of Idaho. ",
3,"September 10, 2024","Bill Gruber, English, Emory University (emeritus)",https://mcfarlandbooks.com/product/spin/,Spin: How the World (and Almost Everything in It) Turns,"Everywhere, things spin—wheels turn, motors hum, tornadoes roar. This book explains the history and basic physics of spinning objects, from yo-yos, drills, propellers, and washing machines, to ballet dancers, dust devils, and bacteria.

The book gives instructive, entertaining accounts of everyday sights: Does a curve ball really curve? Why do figure skaters tuck in their arms? Can you make a disposable pen fly? How does a falling cat always land on its feet? Answers to these questions (and many others) tell the amazing story of things that spin. 

**Bill Gruber** is an emeritus professor of English at Emory University. The author of numerous academic books and articles, he lives in Moscow, Idaho.",
4,"September 17, 2024",Christopher Darnton (U.S. Naval Postgraduate College),https://nps.edu/web/nsa/leadership/-/asset_publisher/PWUF0aIYVrgQ/content/christopher-darnton-ph-d,Sustaining American Alliances in the 21st Century (Borah Symposium),,
5,"September 24, 2024","Philip Stevens (American Indian Studies); Vanessa Anthony-Stevens (Education, Health and Human Sciences)","https://verso.uidaho.edu/esploro/profile/philip_stevens/; https://verso.uidaho.edu/esploro/profile/vanessa_anthonystevens/
",Relational Research and Indigenous Futures: Adventures in Changing the Conditions of Higher Education,,
6,"October 1, 2024",Sanford Eigenbrode (Agricultural and Life Sciences); Erin Brooks (Agricultural and Life Sciences),"https://verso.uidaho.edu/esploro/profile/sanford_eigenbrode/; https://verso.uidaho.edu/esploro/profile/erin_brooks/
",Climate-Smart Agriculture and Marketing,,
7,"October 8, 2024",Andrea Dutto (Architecture); Michael Decker (College of Graduate Studies),https://verso.uidaho.edu/esploro/profile/andrea_dutto/,Exploring Idaho Lookouts: Legacy and Future Perspectives,,
8,"October 15, 2024",Terry Soule (Computer Science); Barrie Robison (Biological Sciences),"https://verso.uidaho.edu/esploro/profile/terry_soule/; https://verso.uidaho.edu/esploro/profile/barrie_robison/
","The Hows, Whys, and Why Nots of Developing Educational Video Games on Campus",,
9,"October 22, 2024",Bert Baumgaertner (Politics and Philosophy); Casey Johnson (Politics and Philosophy),"https://verso.uidaho.edu/esploro/profile/bert_baumgaertner/;
https://verso.uidaho.edu/esploro/profile/casey_johnson/
",Artificial Intelligence Literacy and the Ethics of Inquiry,,
10,"October 29, 2024",Chelsey Byrd Lewallen (Family and Consumer Sciences),https://verso.uidaho.edu/esploro/profile/chelsey_lewallen/,Maintaining a Sustainable Wardrobe,,
11,"November 5, 2024",Rob Ely (Mathematics),https://verso.uidaho.edu/esploro/profile/rob_ely/,Playful Math,,
12,"November 12, 2024",Rebecca Scofield (History); Pavielle Haines (Politics & Philosophy); Markie McBrayer (Politics & Philosophy); Michael Overton (Politics & Philosophy),https://verso.uidaho.edu/esploro/profile/rebecca_scofield/; https://verso.uidaho.edu/esploro/profile/pavielle_haines/; https://verso.uidaho.edu/esploro/profile/pavielle_haines/; https://verso.uidaho.edu/esploro/profile/michael_overton/,Making Sense of the 2024 Election Results: What Happened and Why?,,
13,"November 19, 2024","Jason Karl (Forest, Rangeland, and Fire Science); Jeremy Kenyon (Library)",https://verso.uidaho.edu/esploro/profile/jason_karl/; https://verso.uidaho.edu/esploro/profile/jeremy_kenyon/,JournalMap: Using AI to Map the Where of Science,,
