year,last,first,id,dept,rank,pub,publoc,publink,pubtype,deptid
2018,Abatzoglou,John,n6001,Geography,Associate Professor,Shifts in the thermal niche of almond under climate change,Climatic Change,https://link.springer.com/article/10.1007%2Fs10584-017-2118-6,article,n9521
2018,Baker,Russell,pid52065,Movement Sciences,Assistant Professor,A Data Set of Human Body Movements for Physical Rehabilitation Exercises,Data,http://www.mdpi.com/2306-5729/3/1/2,article,n7928
2018,Bernards,Matthew,n95030,Chemical & Materials Engineering,Assistant Professor,Key features and updates for origin 2018,Journal of cheminformatics,https://jcheminf.springeropen.com/articles/10.1186/s13321-018-0259-x,article,n13454
2018,Brooks,Erin,n45006,Soil and Water Systems,Associate Professor,Evaluating opportunities for an increased role of winter crops as adaptation to climate change in dryland cropping systems of the U.S. Inland Pacific Northwest,Climatic Change,https://link.springer.com/article/10.1007%2Fs10584-017-1950-z,article,n140645
2018,Carr-Chellman,Alison,n221214,Curriculum & Instruction,Professor,Games for boys: a qualitative study of experiences with commercial off the shelf gaming,Educational Technology Research and Development,https://link.springer.com/article/10.1007%2Fs11423-017-9548-8,article,n1232
2018,Coleman,Mark,a3475615869118,"Forest, Rangeland & Fire Sciences",Associate Professor,Idaho forest growth response to post-thinning energy biomass removal and complementary soil amendments,Global Change Biology - Bioenergy,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcbb.12486,article,n49106
2018,Eitel,Karla,pid990042,Natural Resources and Society,Research Associate Professor,Using outdoor adventure to enhance intrinsic motivation and engagement in science and physical activity: An exploratory study,Journal of Outdoor Recreation and Tourism,https://www.sciencedirect.com/science/article/pii/S2213078018300082?via%3Dihub,article,n39633
2018,Freeman,Sydney,n126988,Leadership & Counseling,Associate Professor,The Manuscript Dissertation: A Means of Increasing Competitive Edge for Tenure-track Faculty Positions,International Journal of Doctoral Studies,https://doi.org/10.28945/4093,article,n23913
2018,Fulton,Ruby,n115896,Lionel Hampton School of Music,Assistant Professor,"1 in 10,000: A New Composition for Wind Ensemble and Electronics",University of Idaho Research Council Seed Grant,n60650,grant,n4975
2018,Gessler,Paul,pid990123,"Forest, Rangeland & Fire Sciences",Professor,Building an Open Science Framework to Model Soil Organic Carbon,Journal of Environmental Quality,https://doi.org/10.2134/jeq2017.08.0318,article,n49107
