link,title,type,number,digital-collection
http://search.lib.uidaho.edu/UID:CP71147027980001451,"Fred H. Saylor. Scrapbooks, 1888-1926",MG,35,
http://archiveswest.orbiscascade.org/ark:/80444/xv88241,"Charles W. Clarke. Papers, 1889-1894",MG,36,
http://search.lib.uidaho.edu/UID:CP71147028940001451,"Spurs.  University of Idaho Chapter. Notebooks, 1963-1978",MG,37,
http://archiveswest.orbiscascade.org/ark:/80444/xv20866,"Herman Welker. Papers, 1950-1956",MG,38,
http://archiveswest.orbiscascade.org/ark:/80444/xv53698,"Anton Hanson Family. Papers, 1909-1939",MG,39,
http://search.lib.uidaho.edu/UID:CP71115656850001451,"Latah County Protective Association. Records, 1917-1918",MG,40,
http://archiveswest.orbiscascade.org/ark:/80444/xv86531,"Charles Hayward. Papers, 1830-1885",MG,41,
http://archiveswest.orbiscascade.org/ark:/80444/xv19157,"Edward Maslin Hulme. Scrapbooks, 1900-1917",MG,42,
http://archiveswest.orbiscascade.org/ark:/80444/xv51990/,"George Frederick Jewett, Sr. Papers, 1901-1950",MG,43,
http://archiveswest.orbiscascade.org/ark:/80444/xv84821,"Gracie Pfost. Papers, 1950-1962",MG,44,
http://search.lib.uidaho.edu/UID:CP71102896930001451,"T. B. Keith (Thomas Byron).  Papers, 1960-1968",MG,45,
http://archiveswest.orbiscascade.org/ark:/80444/xv17447,"Harold Lough. Papers, 1957-1968",MG,46,
http://search.lib.uidaho.edu/UID:CP71162295810001451,"William Erwin Lee, 1882-1955. Papers, 1932-1956",MG,47,
http://search.lib.uidaho.edu/UID:CP71162296420001451,"Pontiac Mining Company. Records, 1919-1935",MG,48,
http://archiveswest.orbiscascade.org/ark:/80444/xv50279,"Beacon for Mountain and Plain (Rafe Gibbs). Papers, 1919-1962",MG,49,
http://archiveswest.orbiscascade.org/ark:/80444/xv83453,"State Bank of Commerce, Wallace. Records, 1901-1911",MG,50,
http://archiveswest.orbiscascade.org/ark:/80444/xv16078/,"Kendrick Gazette. Records, 1930-1965",MG,51,
http://archiveswest.orbiscascade.org/ark:/80444/xv48910,"Potlatch Forests, Inc., Camp 6. Records, 1927-1930",MG,52,
http://search.lib.uidaho.edu/UID:CP71163819960001451,"Earl David. Papers, 1909-1968",MG,53,
http://archiveswest.orbiscascade.org/ark:/80444/xv81742,"James H. and Mary E. Forney. Papers, 1878-1889",MG,54,
http://archiveswest.orbiscascade.org/ark:/80444/xv14369,"Burton Lee French. Papers, 1890-1954",MG,55,
http://archiveswest.orbiscascade.org/ark:/80444/xv47202,"Ordens der Hermannssohnne, Holzer-Loge No. 11, Uniontown, Washington. Records, 1890-1910",MG,56,
http://archiveswest.orbiscascade.org/ark:/80444/xv80033,"George Alexis Kellogg. Papers, 1940-1970",MG,57,
,"United Way of Moscow.  Records, 1956-1981",MG,58,
http://archiveswest.orbiscascade.org/ark:/80444/xv1266z,"Paul Conditt. Idaho Union List of Serials. Papers, 1959-1974",MG,59,
http://search.lib.uidaho.edu/UID:CP71179302800001451,"Elna Kluver. Ledger, 1901-1902",MG,60,
http://archiveswest.orbiscascade.org/ark:/80444/xv45491,"Alpha of Idaho, Phi Beta Kappa. Records, 1921-1967",MG,61,
http://archiveswest.orbiscascade.org/ark:/80444/xv78665/,"Harry and Argenta Miller. Papers, 1898-1969",MG,62,
http://search.lib.uidaho.edu/UID:CP71179311210001451,"Juliaetta (Idaho).  Justice Court. Docket, 1912-1924. ",MG,63,
http://archiveswest.orbiscascade.org/ark:/80444/xv11290,"Moscow District Camp Fire Girls. Records, 1946-1984",MG,64,
http://archiveswest.orbiscascade.org/ark:/80444/xv44123,"Warren T. Shepperd Papers, 1899-1969",MG,65,
http://archiveswest.orbiscascade.org/ark:/80444/xv76954/,"Standard Dairy Company. Records, 1886-1938",MG,66,
http://archiveswest.orbiscascade.org/ark:/80444/xv09581,"Consolidated Insurance Agency. Records, 1921-1964",MG,67,
http://archiveswest.orbiscascade.org/ark:/80444/xv42414,"Rural Women's History Project. Papers, 1975-1980",MG,68,
http://archiveswest.orbiscascade.org/ark:/80444/xv75245,"White Pine: King of Many Waters. Collection, 1964-1970",MG,69,
http://archiveswest.orbiscascade.org/ark:/80444/xv07872,"Faculty Club, University of Idaho. Records, 1945-1971",MG,70,
http://search.lib.uidaho.edu/UID:CP71179283870001451,"Genesee Union Warehouse Company. Audit records, 1939-1952",MG,71,
http://search.lib.uidaho.edu/UID:CP71179282510001451,"John B. Miller. Papers, 1910-1973",MG,72,
http://archiveswest.orbiscascade.org/ark:/80444/xv40703,"Historical Club of Moscow, Idaho. Records, 1895-1979",MG,73,
,"Knights of Columbus.  Records, 1914-1981",MG,74,
http://search.lib.uidaho.edu/UID:CP71100845310001451,"Earl Malcolm Hause. Papers, 1949-1971",MG,75,
http://archiveswest.orbiscascade.org/ark:/80444/xv78979/,"Edward John Iddings. Scrapbooks, 1904-1954",MG,76,http://digital.lib.uidaho.edu/cdm/landingpage/collection/spec_ji
http://archiveswest.orbiscascade.org/ark:/80444/xv06502,"Ambrose Hammett Burroughs, Jr., Papers, 1919-1954",MG,77,
http://archiveswest.orbiscascade.org/ark:/80444/xv39335/,"Albert B. Curtis. Public Land Law Review Commission. Papers, 1964-1970",MG,78,
,"Idaho Public Employees Association.  Records, 1954-1974",MG,79,
http://archiveswest.orbiscascade.org/ark:/80444/xv72166,"Tiger Hotel Company. Records, 1909-1945",MG,80,
http://archiveswest.orbiscascade.org/ark:/80444/xv04793,"Princeton-Harvard Highway District. Records, 1919-1950",MG,81,
http://archiveswest.orbiscascade.org/ark:/80444/xv37625,"Moscow Post Office. Records, 1887-1959",MG,82,
http://archiveswest.orbiscascade.org/ark:/80444/xv70457,"Frederic Corss Church. Papers, 1910-1966",MG,83,
http://archiveswest.orbiscascade.org/ark:/80444/xv03084,"Carl Krueger. Papers, 1926-1983",MG,84,
http://archiveswest.orbiscascade.org/ark:/80444/xv35915,"Ben W. Davis. Papers, 1931-1976",MG,85,
http://archiveswest.orbiscascade.org/ark:/80444/xv85406/,"Sierra Club, Northern Rockies Chapter. Records, 1967-2004 ",MG,86,
http://search.lib.uidaho.edu/UID:CP71106248120001451,"Moscow (Idaho) Election. Records, 1969",MG,87,
http://archiveswest.orbiscascade.org/ark:/80444/xv68748,"Charles Odell Brown. Papers, 1891-1915",MG,88,
http://archiveswest.orbiscascade.org/ark:/80444/xv01714,"Latah County Mental Health Association. Records, 1959-1975",MG,89,
http://archiveswest.orbiscascade.org/ark:/80444/xv34546/,"Society Of American Foresters, Inland Empire Section. Records, 1938-1984",MG,90,
http://archiveswest.orbiscascade.org/ark:/80444/xv67378/,"C. Ben Ross. Papers, 1922-1945",MG,91,
http://search.lib.uidaho.edu/UID:CP71157470670001451,"Adam Aulbach. Scrapbook, 1906-1947",MG,92,
http://archiveswest.orbiscascade.org/ark:/80444/xv00005,"Compton I. White, Jr. Papers, 1963-1966",MG,93,
http://archiveswest.orbiscascade.org/ark:/80444/xv32837,"Faculty Women's Club. Records, 1941-1976",MG,94,
http://search.lib.uidaho.edu/UID:CP71103361980001451,"American Association of University Professors.  University of Idaho Chapter. Records, 1956-1975. ",MG,95,
http://archiveswest.orbiscascade.org/ark:/80444/xv65670,"Potlatch Forests, Inc. Records, 1910-1938",MG,96,
http://archiveswest.orbiscascade.org/ark:/80444/xv98501,"Floyd Frank. Papers, 1971-1977",MG,97,
http://search.lib.uidaho.edu/UID:CP71153589830001451,"W. R. Crawford Papers, 1917-1935",MG,98,
http://archiveswest.orbiscascade.org/ark:/80444/xv31127,"Gritman Memorial Hospital. Records, 1939-1985",MG,99,
http://archiveswest.orbiscascade.org/ark:/80444/xv63960,"John F. Streiff. Papers, 1965-1977",MG,100,
http://archiveswest.orbiscascade.org/ark:/80444/xv97133/,"Frank Bruce Robinson. Papers, 1929-1951",MG,101,
http://archiveswest.orbiscascade.org/ark:/80444/xv29758,"Village Of Craigmont. Records, 1921-1969",MG,102,
http://search.lib.uidaho.edu/UID:CP71180148760001451,"National Extension Homemakers Council (U.S.) Edith Archibald homemaker, of Idaho; Dorothy Carlson; Ruth Bright oral historian. Oral History Collection, 1983",MG,103,
http://archiveswest.orbiscascade.org/ark:/80444/xv62590,"Nez Perce Farmers County Mutual Fire Insurance Company. Records, 1905-1980",MG,104,
http://archiveswest.orbiscascade.org/ark:/80444/xv95423/,"Idaho Constitutional Revision Commission. Papers, 1965-1970",MG,105,
http://archiveswest.orbiscascade.org/ark:/80444/xv28049,"Lillie Mae Hermann. Papers, 1975-1979",MG,106,
http://archiveswest.orbiscascade.org/ark:/80444/xv60882,"James Pinckney Pope. Papers, 1929-1951",MG,107,
http://archiveswest.orbiscascade.org/ark:/80444/xv93713,"Palouse Hills Farm Museum Project. Records, 1979-1981",MG,108,
http://archiveswest.orbiscascade.org/ark:/80444/xv26340,"Women's Caucus of the University of Idaho. Records, 1971-1980",MG,109,
http://archiveswest.orbiscascade.org/ark:/80444/xv59171,"Weisgerber Brothers. Papers, 1863-1918",MG,110,
http://archiveswest.orbiscascade.org/ark:/80444/xv92345,"Denault Space Program. Memorabilia, 1969-1977",MG,111,
http://search.lib.uidaho.edu/UID:CP71167429250001451,"Albert Justin Ohlson. Scrapbook, 1920-1981",MG,112,
http://archiveswest.orbiscascade.org/ark:/80444/xv24970/,"Allen Conrad Morrill, Eleanor Dunlap Morrill. Papers, 1962-1982",MG,113,
http://archiveswest.orbiscascade.org/ark:/80444/xv57803,"George Frederick Jewett, Sr. Papers, 1907-1963",MG,114,
http://archiveswest.orbiscascade.org/ark:/80444/xv90634,"Claude and Catherine Simpson. Papers, 1932-1981",MG,115,
http://archiveswest.orbiscascade.org/ark:/80444/xv23261,"Center For Native American Development. Records, 1972-1979",MG,116,
http://search.lib.uidaho.edu/UID:CP71114187230001451,"John H. Eaton. Diaries, 1943-1944",MG,117,
http://archiveswest.orbiscascade.org/ark:/80444/xv56094,"Raycide Mosher. Civil War Letters, 1864-1865",MG,118,
http://archiveswest.orbiscascade.org/ark:/80444/xv88925,"Robert E. Hosack. Papers, 1947-1982",MG,119,
http://archiveswest.orbiscascade.org/ark:/80444/xv21552,"Nelson Auto Electric Co., Moscow, Idaho. Records, 1912-1961",MG,120,
http://search.lib.uidaho.edu/UID:CP71180124290001451,"Cort Conley. Manuscripts, 1982-1985",MG,121,
http://archiveswest.orbiscascade.org/ark:/80444/xv54383,"Glen R. Lockery. Papers, 1946-1980",MG,122,
http://archiveswest.orbiscascade.org/ark:/80444/xv87558,"C.W. Hickman. Papers, 1913-1955",MG,123,
http://search.lib.uidaho.edu/UID:CP71177372580001451,"United Church Women of Moscow, Idaho. Scrapbook, 1957-1960. ",MG,124,
http://archiveswest.orbiscascade.org/ark:/80444/xv20183,"Edmund Chavez. Fund for the Performing Arts Center. Papers, 1959-1976",MG,125,
http://archiveswest.orbiscascade.org/ark:/80444/xv53016,Archive of Idaho Folklore. Papers 1963-1972,MG,126,
http://search.lib.uidaho.edu/UID:CP71180144610001451,"William John McConnell. Scrapbook, 1890-1925.",MG,128,
http://archiveswest.orbiscascade.org/ark:/80444/xv85847,"Isabel Miller. Papers, 1973-1981",MG,129,
http://archiveswest.orbiscascade.org/ark:/80444/xv18473,"Bunker Hill and Sullivan Mining Company. Records, 1894-1937",MG,130,
http://search.lib.uidaho.edu/UID:CP71177372230001451,"Nez Perce? Agency. Correspondence, 1871-1883",MG,131,
http://search.lib.uidaho.edu/UID:CP71162599440001451,"E. E. Smith (Edward Elmer). Papers, 1914-1994",MG,132,
http://archiveswest.orbiscascade.org/ark:/80444/xv51305/,"Mark P. Miller Milling Company. Records, 1940-1960",MG,133,
http://archiveswest.orbiscascade.org/ark:/80444/xv84137,"James C. Evenden. Papers, 1910-1969",MG,134,
http://archiveswest.orbiscascade.org/ark:/80444/xv16764/,"Potlatch Lumber Company. Records, 1901-1979",MG,135,http://www.lib.uidaho.edu/digital/FamilyTree/
http://archiveswest.orbiscascade.org/ark:/80444/xv49595,"Albert L. Alford. Papers, 1913-1972",MG,136,
http://archiveswest.orbiscascade.org/ark:/80444/xv82428/,"North Idaho Children's Home. Records, 1908-1984",MG,137,
http://archiveswest.orbiscascade.org/ark:/80444/xv15395,"Harold Thornton Stearns. Papers, 1905-1975",MG,138,
http://archiveswest.orbiscascade.org/ark:/80444/xv48228,"Washington, Idaho &amp; Montana Railway Company. Records, 1903-1962",MG,139,
http://archiveswest.orbiscascade.org/ark:/80444/xv81059,"Shoshone County Flood Control Project. Records, 1935-1940",MG,140,
http://search.lib.uidaho.edu/UID:CP71139879200001451,"University of Idaho, English Club. Records, 1918-1927",MG,141,
http://archiveswest.orbiscascade.org/ark:/80444/xv13686,"Howard B. Stough. Papers, 1880-1972",MG,142,
http://archiveswest.orbiscascade.org/ark:/80444/xv46517,"Empire Copper Company. Records, 1900-1946",MG,143,
http://archiveswest.orbiscascade.org/ark:/80444/xv79349,"Musical Heritage, SE Idaho. Presentations, 1977-1979",MG,144,
http://archiveswest.orbiscascade.org/ark:/80444/xv11975,"History of Idaho Journalism. Student Papers, 1932-1960",MG,145,
http://search.lib.uidaho.edu/UID:CP71139843220001451,"Kenneth Eugene Hungerford. Papers, 1954-1961.",MG,146,
http://archiveswest.orbiscascade.org/ark:/80444/xv44807/,"Albert Bruce Curtis. Papers, 1927-1977",MG,147,http://www.lib.uidaho.edu/digital/dworshak/
http://archiveswest.orbiscascade.org/ark:/80444/xv77640,"Abe Mcgregor Goff. Papers, 1915-1968",MG,148,
http://archiveswest.orbiscascade.org/ark:/80444/xv10607/,"Allen Sheeley Janssen. Papers, 1926-1980",MG,149,
http://archiveswest.orbiscascade.org/ark:/80444/xv43439,"R.C. Halliday and Company, Dillon, Montana. Letters from Idaho, 1885-1893",MG,150,
http://archiveswest.orbiscascade.org/ark:/80444/xv76271,"Moscow Recycling Center. Secretary's Records, 1973-1986",MG,151,
http://archiveswest.orbiscascade.org/ark:/80444/xv08898,"Waterman's Floor Covering. Records, 1950-1976",MG,152,
http://search.lib.uidaho.edu/UID:CP71103840950001451," Ernest William Hartung. Papers, 1974-1989",MG,154,
http://search.lib.uidaho.edu/UID:CP71103847480001451,"Shepp Ranch (Idaho). Diaries, 1903-1971",MG,155,
http://search.lib.uidaho.edu/UID:CP71103845010001451,"Rollo P. Perkins. Diaries, 1928-1967",MG,156,
http://search.lib.uidaho.edu/UID:CP71103845900001451,"Idaho Panhandle National Forests. Oral histories, 1980-1981",MG,157,
http://search.lib.uidaho.edu/UID:CP71155924730001451,"Priest Lake Museum Association. Oral histories, 1983-[198-]",MG,158,
http://search.lib.uidaho.edu/UID:CP71180142160001451,"Nez Perce County Historical Society. Oral histories, 1982-[198-] ",MG,159,
http://search.lib.uidaho.edu/UID:CP71155926610001451,"Tau Mem Aleph. University of Idaho Chapter. Records, 1928-1939",MG,160,
http://search.lib.uidaho.edu/UID:CP71105290090001451,"Aram and Sons. Records, 1890-1902",MG,161,
http://search.lib.uidaho.edu/UID:CP71155956700001451,"Edwin Noel Pennebaker. Mine plat maps, 1928-1958",MG,162,
http://archiveswest.orbiscascade.org/ark:/80444/xv29214/,"Idaho Third District Federation of Women's Clubs. Records, 1946-1986",MG,163,
http://search.lib.uidaho.edu/UID:CP71155958490001451,"Idaho Mining. Scrapbook, 1927-1928",MG,165,
http://search.lib.uidaho.edu/UID:CP71155942320001451,"John Ford Sollers. Scrapbook, 1941-[194-] ",MG,166,
http://search.lib.uidaho.edu/UID:CP71179076690001451,"Richard B. Ott. Scrapbook, 1915-1919",MG,167,
http://search.lib.uidaho.edu/UID:CP71179076380001451,"Byrd Fanita Wall. Scrapbook, 1913-1916",MG,168,
http://search.lib.uidaho.edu/UID:CP71179075720001451,"Charlotte Lewis. Scrapbook, 1913-1921",MG,169,
http://search.lib.uidaho.edu/UID:CP71179075920001451,"Esther E. Thomas. Scrapbook, 1915-1919",MG,170,
http://search.lib.uidaho.edu/UID:CP71150547820001451,"Leslie E. Eddy. Scrapbook, [191-]-1978",MG,171,
http://search.lib.uidaho.edu/UID:CP71150549020001451,"Mary Elizabeth Kostalek. Scrapbook, 1932",MG,172,
http://search.lib.uidaho.edu/UID:CP71150545810001451,"Hope Lumber Manufacturing Company. Records, 1908-1925",MG,173,
http://archiveswest.orbiscascade.org/ark:/80444/xv74562,"Michael Frome. Papers, 1959-1989",MG,174,
http://search.lib.uidaho.edu/UID:CP71150550480001451,"Mary Walker Eldridge. Diaries, 1907-1949",MG,175,
http://search.lib.uidaho.edu/UID:CP71150550340001451,"Jay Glover Eldridge. Diaries, 1892-1962",MG,176,
http://archiveswest.orbiscascade.org/ark:/80444/xv07187,"Olesen Family. Papers, 1887-1984",MG,177,
http://archiveswest.orbiscascade.org/ark:/80444/xv40019,"Corlann Gee Bush. Papers, 1976-1985",MG,178,
http://search.lib.uidaho.edu/UID:CP71179302220001451,"Kathryn Louise Healy. Scrapbooks, 1921-1926",MG,179,
http://archiveswest.orbiscascade.org/ark:/80444/xv72851/,"Herbert Baldwin McKean. Papers, 1932-1985",MG,180,
http://archiveswest.orbiscascade.org/ark:/80444/xv05820/,"Jesse Everett Buchanan. Papers, 1917-1986",MG,181,
http://archiveswest.orbiscascade.org/ark:/80444/xv38651,"Lalia Phipps Boone. Papers, 1950-1986",MG,182,
http://archiveswest.orbiscascade.org/ark:/80444/xv71483,"Hal Riegger. Papers, 1981-1986",MG,183,
http://search.lib.uidaho.edu/UID:CP71100828010001451,"University of Idaho Personal Computer Users' Group. Records, 1985-1986",MG,184,
http://search.lib.uidaho.edu/UID:CP71100812540001451,"University of Idaho Library, Circuit Rider Project. Records, 1984-1985",MG,185,
http://archiveswest.orbiscascade.org/ark:/80444/xv04109,"Talbot Jennings. Scripts, 1926-1960",MG,186,
http://archiveswest.orbiscascade.org/ark:/80444/xv36941,"Bunker Hill Company, Research and Development Division. Records, 1922-1982",MG,187,
http://archiveswest.orbiscascade.org/ark:/80444/xv69774,"Bunker Hill and Sullivan Mining and Concentrating Company. Legal Cases, 1899-1902",MG,188,
http://archiveswest.orbiscascade.org/ark:/80444/xv02399,"The Brewery. Records, 1985-1988",MG,189,
http://archiveswest.orbiscascade.org/ark:/80444/xv35232/,"Cougar Dave Lewis. Papers, 1879-1984",MG,190,
http://archiveswest.orbiscascade.org/ark:/80444/xv68063/,"Potlatch Forests, Inc. Wood Products Research and Development. Records, 1951-1984",MG,191,
http://archiveswest.orbiscascade.org/ark:/80444/xv01032,"Potlatch Forests, Inc. Records, 1951-1982",MG,192,
http://archiveswest.orbiscascade.org/ark:/80444/xv33863,"Potlatch Lumber Company. Records, 1890-1949",MG,193,
http://search.lib.uidaho.edu/UID:CP71106215010001451,"John P. Howe. Papers, 1958-1981",MG,194,
http://search.lib.uidaho.edu/UID:CP71106214800001451,"Strong, Margaret Henderson, Pleiades Club (Moscow, Idaho). Collection, 1897-1904",MG,195,
http://search.lib.uidaho.edu/UID:CP71106231580001451,"Carol Ryrie Brink. Manuscripts, 1964-1975",MG,196,
http://search.lib.uidaho.edu/UID:CP71106244600001451,"Eustace Thurman Baker. The cow owner's handbook : typescript, 1950-1951",MG,197,
http://search.lib.uidaho.edu/UID:CP71157470980001451,"Idaho Club Students Association. Records, 1936-1958",MG,198,
http://search.lib.uidaho.edu/UID:CP71103348850001451,"Mabel Russell Parks. Scrapbook, 1911-1966",MG,199,
http://search.lib.uidaho.edu/UID:CP71103347280001451,"Edward John Iddings. Scrapbook, 1905-1908",MG,201,
http://search.lib.uidaho.edu/UID:CP71157470420001451,"Esther E. Thomas. Scrapbook, 1918-1925",MG,202,
http://archiveswest.orbiscascade.org/ark:/80444/xv66696/,"Titus George LeClair. Papers, 1917-1968",MG,203,
http://search.lib.uidaho.edu/UID:CP71103366100001451,"Kenneth B. Platt. Papers, 1964-1970",MG,205,
http://search.lib.uidaho.edu/UID:CP71103363300001451,"University of Idaho Dames. Scrapbooks, 1941-1977",MG,206,
http://search.lib.uidaho.edu/UID:CP71153583490001451,"Young Life Campaign. Records, 1970-1972",MG,207,
http://search.lib.uidaho.edu/UID:CP71177380560001451,"Twin City Lumber Company (Lewiston, Idaho) Records, 1913-1916",MG,208,
http://search.lib.uidaho.edu/UID:CP71180608010001451,"H.W. Curtis Hardware Store (Blackfoot, Idaho). Daybook, Apr. 23, 1909-Mar. 3, 1910",MG,209,
http://search.lib.uidaho.edu/UID:CP71177381130001451,"Wylie Andrew Lauder. Financial records, 1911-1936",MG,210,
http://archiveswest.orbiscascade.org/ark:/80444/xv99527/,"Margaret Ritchie. Papers, 1895-1983",MG,211,
http://archiveswest.orbiscascade.org/ark:/80444/xv32153,"John J. Peebles. Papers, 1976-1985",MG,212,
http://search.lib.uidaho.edu/UID:CP71153629950001451,"Kenneth Andrew Dick. Papers, 1946-1959",MG,213,
http://search.lib.uidaho.edu/UID:CP71153626430001451,"William John Brockelbank. Papers, 1934-1984",MG,214,
http://search.lib.uidaho.edu/UID:CP71153581580001451,"Charles Gelbach Store. Records, 1900-1922",MG,215,
http://search.lib.uidaho.edu/UID:CP71171300140001451,"Melville Harrison Hatch. Papers, 1930-1969",MG,216,
http://search.lib.uidaho.edu/UID:CP71171301710001451,"Helen McKelvey Oakley.  An alphabet of Christmas words, 1933-1967",MG,217,
http://archiveswest.orbiscascade.org/ark:/80444/xv64986,"Vardis Fisher. Papers, 1927-1974",MG,218,
http://search.lib.uidaho.edu/UID:CP71167428380001451,"Jean Chalmers Donaldson.  Papers, 1927-1965",MG,219,
http://search.lib.uidaho.edu/UID:CP71173935910001451,"A. Cypen Lubitsh. The Lion of Idaho : The nation mourns the death of Senator William E. Borah : manuscript, 1940",MG,220,
http://archiveswest.orbiscascade.org/ark:/80444/xv14474/,"Register of Indian Families at the Nez Perce Agency, 1884-1909.",MG,221,
http://search.lib.uidaho.edu/UID:CP71142224230001451,"Winchester Inn (Winchester, Idaho). Guest register, Jan. 17, 1916-Sept. 14, 1933",MG,222,
http://search.lib.uidaho.edu/UID:CP71148768970001451,"Horace C. Myers,  A Few Bits of Picturesque Idaho. Photograph Album, July 1901",MG,223,
http://search.lib.uidaho.edu/UID:CP71148766770001451,"Virgo dei genitrix quem totus non capit orbis in tua seda usit vi screa sanctus homo, alleluia. Manuscript, [13--?]",MG,224,
http://search.lib.uidaho.edu/UID:CP71163987030001451,"United States. Bureau of the Census. Census of agriculture: Idaho. Tables, 1945",MG,225,
http://search.lib.uidaho.edu/UID:CP71163986300001451,"Idaho tax tables, 1934",MG,226,
http://search.lib.uidaho.edu/UID:CP71159016340001451,"Report on Idaho agriculture, Mar. 24, 1922",MG,227,
http://search.lib.uidaho.edu/UID:CP71151367440001451,"U.S. Forest Service. Land use plan : typescript, 1934",MG,228,
http://search.lib.uidaho.edu/UID:CP71167427880001451,"Jerome Day 1876-1941, Whitman Controversy. Collection, 1895-1903",MG,229,
http://archiveswest.orbiscascade.org/ark:/80444/xv97817,"Mildred Burlingame. Papers, 1909-1972",MG,230,
http://archiveswest.orbiscascade.org/ark:/80444/xv30444,"Lucy Jane Wagy Ramsey. Diaries, 1895-1959",MG,231,
http://search.lib.uidaho.edu/UID:CP71180139120001451,"Lee F. Zimmerman (Lee Franklin),  Richard J. Beck. Papers, 1934-1987",MG,232,
http://archiveswest.orbiscascade.org/ark:/80444/xv63275/,"Earl J. Larrison. Papers, 1915-1987",MG,233,
http://archiveswest.orbiscascade.org/ark:/80444/xv96450/,"Northport Smelting &amp; Refining Company.  Records, 1898-1936",MG,234,
http://archiveswest.orbiscascade.org/ark:/80444/xv29075,"Aurum Mining Company. Records, 1916-1953",MG,235,
http://archiveswest.orbiscascade.org/ark:/80444/xv61908/,"Hercules Mining Company. Records, 1892-1947",MG,236,
