fiscalyear,applicantlastname,applicantfirstname,college,department,rank,journal,publisher,articletitle,articledoi
FY2020,Budwig,Ralph,Engineering,Center for Ecohydraulics Research,Faculty,Frontiers in Earth Science - Hydrosphere,Frontiers Research Foundation,Particle seeded grains to identify highly irregular solid boundaries and simplify PIV measurements,https://doi.org/10.3389/feart.2019.00195
FY2020,Cassel,Elizabeth,Science,Geological Sciences,Faculty,Geosphere,Geological Society of America,"Eocene exhumation and extensional basin formation in the Copper Mountains, Nevada, USA",https://doi.org/10.1130/GES02101.1
FY2020,Caudill,Christopher,Natural Resources ,Fish and Wildlife Sciences,Faculty,Ecology and Evolution,Wiley,Classifying and inferring behaviors using real-time acceleration biotelemetry in reproductive steelhead trout (Oncorhynchus mykiss),https://doi.org/10.1002/ece3.5634
FY2020,Charit,Indrajit,Engineering,Chemical and Materials Engineering,Faculty,Scientific Reports,Nature Publishing Group,Evaluation of tellurium as a fuel additive in neodymium-containing U-Zr metallic fuel,https://doi.org/10.1038/s41598-019-51852-z
FY2020,Choudhury,Samrat,Engineering,Chemical and Materials Engineering,Faculty,AIP Advances,American Institute of Physics,Atomic structure and electronic properties of lead and tin based hybrid halide perovskite surface for photovoltaic applications,https://doi.org/10.1063/1.5111569
FY2020,Coleman,Mark,Natural Resources ,"Forest, Rangeland and Fire Sciences",Faculty,Global Change Biology - Bioenergy,Wiley,"Forest soil respiration and exoenzyme activity in western North America following thinning, residue removal for biofuel production, and compensatory soil amendments",https://doi.org/10.1111/gcbb.12668
FY2020,Conway,Courtney ,Natural Resources,Fish and Wildlife Sciences,Faculty,Ecosphere,Wiley,Flea sharing among sympatric rodent hosts: Implications for potential plague effects on a threatened sciurid,https://doi.org/10.1002/ecs2.3033
FY2020,Forney,Larry,Science,Biological Sciences,Faculty,mBio,American Society for Microbiology,Vaginal biomarkers that predict cervical length and dominant bacteria in the vaginal microbiomes of pregnant women,https://doi.org/10.1128/mBio.02242-19
FY2020,Hamilton,Chris,Agricultural and Life Sciences,"Entomology, Plant Pathology and Nematology",Faculty,BMC Evolutionary Biology,BioMed Central,Phylogenomics resolves major relationships and reveals significant diversification rate shifts in the evolution of silk moths and relatives,https://doi.org/10.1186/s12862-019-1505-1
FY2020,Kelley,Jason,Agricultural and Life Sciences,Soil and Water Systems,Faculty,Frontiers in Earth Science - Atmospheric Science ,Frontiers Research Foundation,Ensemble-averaging resolves rapid atmospheric response to the 2017 total solar eclipse,https://doi.org/10.3389/feart.2019.00198
FY2020,Kumar,Gautam,Engineering,Chemical and Materials Engineering,Faculty,Frontiers in Computational Neuroscience,Frontiers Research Foundation,Controlling synchronization of spiking neuronal networks by harnessing synaptic plasticity,https://doi.org/10.3389/fncom.2019.00061
FY2020,Martin,Bryn,Engineering,Biological Engineering,Faculty,Fluids and Barriers of the CNS,Springer Nature,Non-invasive mri quantification of cerebrospinal fluid dynamics in amyotrophic lateral sclerosis patients,https://doi.org/10.1186/s12987-019-0164-3
FY2020,Pfeiffer,David,Science,Biological Sciences,Faculty,Radiology Case Reports,Elsevier,A case of thoracoabdominal splenosis,https://doi.org/10.1016/j.radcr.2019.10.017
FY2020,Pfeiffer,David,Science,Biological Sciences,Faculty,Radiology Case Reports,Elsevier,Giant hepatic cyst as a cause of gastric outlet obstruction,https://doi.org/10.1016/j.radcr.2019.06.015
FY2020,Remien,Christopher,Science,Mathematics,Faculty,PeerJ,"PeerJ, Inc.",Spatial structure undermines parasite suppression by gene drive cargo,https://doi.org/10.7717/peerj.7921
FY2020,Ruffley,Megan,Science,Biological Sciences,Enrolled graduate student,Ecology and Evolution,Wiley,Identifying models of trait-mediated community assembly using random forests and approximate Bayesian computation,https://doi.org/10.1002/ece3.5773
FY2020,Schiele,Nathan,Engineering,Biological Engineering,Faculty,HardwareX,Elsevier,"Low-cost, open-source, variable speed and incline treadmill for studying impacts of neonatal locomotion",https://doi.org/10.1016/j.ohx.2020.e00097
FY2020,Schiele,Nathan,Engineering,Biological Engineering,Faculty,BMC Biomedical Engineering,Springer Nature,Models of tendon development and injury,https://doi.org/10.1186/s42490-019-0029-5
FY2020,Stanley,Jessica,Science,Geological Sciences,Faculty,Lithosphere,Geological Society of America,Mesozoic denudation history of the lower Orange River and eastward migration of erosion across the southern African Plateau,https://doi.org/10.1130/L1121.1
FY2020,Strickland,Michael ,Agricultural and Life Sciences,Soil and Water Systems,Faculty,"Agrosystems, Geosciences & Environment",American Society of Agronomy and Crop Science Society of America,Short-term effects of cover crops on soil microbial characteristics and biogeochemical processes across actively managed farms,https://doi.org/10.2134/age2018.12.0064
FY2020,Tank,David,Science,Biological Sciences,Faculty,Applications in Plant Sciences,Wiley,Chloroplast primers for clade-wide phylogenetic studies of Thalictrum,https://doi.org/10.1002/aps3.11294
FY2020,Wallen,Kenneth,Natural Resources ,Natural Resources and Society,Faculty,Environmental Research Letters,IOP Publishing,"The American West as a social-ecological region: Drivers, dynamics and implications for nested social-ecological systems",https://doi.org/10.1088/1748-9326/ab4562
FY2020,Waynant,Kristopher,Science,Chemistry,Faculty,Acta Crystallographica Section E: Crystallographic Communications,International Union of Crystallography,"The synthesis and crystal structure of bis[3,3-diethyl-1-(phenylimino-kN)thiourea-kS]silver hexafluoridophosphate",https://doi.org/10.1107/S2056989019011824
FY2021,Adhikari,Subodh ,Agricultural and Life Sciences,"Entomology, Plant Pathology and Nematology",Postdoctoral researcher,Frontiers in Agronomy,Frontiers,Within-population trait variation in a globally invasive plant species mayweed chamomile (Anthemis cotula): Implications for future invasion and management,https://doi.org/10.3389/fagro.2021.640208
FY2021,Andrews,Kimberly ,Institute for Bioinformatics and Evolutionary Studies,na,Staff,Communications Biology,Springer Nature,"Wireworm (Coleoptera: Elateridae) genomic analysis reveals putative cryptic species, population structure, and adaptation to pest control",https://doi.org/10.1038/s42003-020-01169-9
FY2021,Bass,Phillip,Agricultural and Life Sciences,"Animal, Veterinary and Food Sciences",Faculty,Translational Animal Science,Oxford University Press,"Impact of beef carcass size on chilling rate, pH decline, display color and tenderness of top round subprimals",https://doi.org/10.1093/tas/txaa199
FY2021,Becker,Ryer,Natural Resources,"Forest, Rangeland and Fire Sciences",Enrolled graduate student,Sustainability,MDPI,"Prediction of fuel loading following mastication treatments in forest stands in North Idaho, USA",https://doi.org/10.3390/su12177025
FY2021,Charit,Indrajit ,Engineering,Materials Science and Engineering,Faculty,Nuclear Materials and Energy,Elsevier,Role of zirconium in neodymiumdopants interactions within uraniumbased metallic fuels,https://doi.org/10.1016/j.nme.2021.100912
FY2021,Choudhury,Samrat,Engineering,Materials Science and Engineering,Faculty,Materials,MDPI,Role of chemistry and crystal structure on the electronic defect states in cs-based halide perovskites,https://doi.org/10.3390/ma14041032
FY2021,Cohen,Rajal,"Letters, Arts and Social Sciences",Psychology and Communication Studies,Faculty,Applied Sciences,MDPI,Alexander technique vs. targeted exercise for neck pain—a preliminary comparison,https://doi.org/10.3390/app11104640
FY2021,Gilbert,Sophie,Natural Resources,Fish and Wildlife Sciences,Faculty,Frontiers in Ecology and Evolution,Frontiers,The importance of environmental variability and transient population dynamics for a northern ungulate,https://doi.org/10.3389/fevo.2020.531027
FY2021,Grieshaber,Scott,Science,Biological Sciences,Faculty,mSystems,American Society for Microbiology,Single inclusion kinetics of chlamydia trachomatis development,https://dx.doi.org/10.1128/mSystems.00689-20
FY2021,Heinse,Robert,Agricultural and Life Sciences,Soil and Water Systems,Faculty,Vadose Zone Journal,Wiley,Time-lapse mapping of crop and tillage interactions with soil-water using electromagnetic induction,https://doi.org/10.1002/vzj2.20097
FY2021,Ibrahim,Ahmed,Engineering,Civil and Environmental Engineering,Faculty,International Journal of Concrete Structures and Materials,Springer Nature,Influence of shear span-to-effective depth ratio on behavior of high strength reinforced concrete beams,https://doi.org/10.1186/s40069-020-00444-7
FY2021,Jackson,Russell,"Letters, Arts and Social Sciences",Psychology and Communication Studies,Faculty,Evolutionary Psychology,Sage,Is the vertical-horizontal illusion a byproduct of the environmental illusion?,https://doi.org/10.1177/1474704920961953
FY2021,Kersten,Michael,"Letters, Arts and Social Sciences",Psychology and Communication Studies,Faculty,Frontiers in Psychology,Frontiers,Attenuating pain with the past: Nostalgia reduces physical pain,https://doi.org/10.3389/fpsyg.2020.572881
FY2021,Langman,Jeff,Science,Geological Sciences,Faculty,Minerals,MDPI,"Sulfur species, bonding environment, and metal mobilization in mining-impacted lake sediments: Column experiments replicating seasonal anoxia and deposition of algal detritus",https://doi.org/10.3390/min10100849
FY2021,Larkins,Lindsay,"Education, Health and Human Sciences",Movement Sciences,Faculty,Archives of Rehabilitation Research and Clinical Translation,American Congress of Rehabilitation Medicine,Physical examination of the ankle: A review of the original orthopedic special test description and scientific validity of common tests for ankle examination,https://doi.org/10.1016/j.arrct.2020.100072
FY2021,Martin,Bryn,Engineering,Chemical and Biological Engineering,Faculty,Microgravity,Springer Nature,Quantitative magnetic resonance image assessment of the optic nerve and surrounding sheath after spaceflight,https://doi.org/10.1038/s41526-020-00119-3
FY2021,Marx,Christopher,Science,Biological Sciences,Faculty,Microorganisms,MDPI,Global transcriptional response of Methylorubrum extorquens to formaldehyde stress expands the role of EfgA and is distinct from antibiotic translational inhibition,https://doi.org/10.3390/microorganisms9020347
FY2021,Newcombe,George,Natural Resources,"Forest, Rangeland and Fire Sciences",Faculty,Frontiers in Microbiology,Frontiers,Leaf endophytes of populus trichocarpa can be pathogens of neighboring plants,https://doi.org/10.3389/fmicb.2020.573056
FY2021,Peng,Ching-An,Engineering,Chemical and Biological Engineering,Faculty,Methods and Protocols,MDPI,Efficient expression of soluble recombinant protein fused with core-streptavidin in bacterial strain with T7 expression system,https://doi.org/10.3390/mps3040082
FY2021,Peng,Ching-An,Engineering,Chemical and Biological Engineering,Faculty,Molecules,MDPI,Polymeric nanovectors incorporated with ganciclovir and HSV-tk encoding plasmid for gene-directed enzyme prodrug therapy,https://doi.org/10.3390/molecules26061759
FY2021,Pfeiffer,David,Science,Biological Sciences,Faculty,Radiology Case Reports,Elsevier,Intralobar pulmonary sequestration: Incidental finding in an asymptomatic patient,https://doi.org/10.1016/j.radcr.2020.07.057
FY2021,Rowley,Paul,Science,Biological Sciences,Faculty,PLOS One,Public Library of Science,The design and implementation of restraint devices for the injection of pathogenic microorganisms into Galleria mellonella.,https://doi.org/10.1371/journal.pone.0230767
FY2021,Rowley,Paul,Science,Biological Sciences,Faculty,PLoS Genetics,Public Library of Science,The species-specific acquisition and diversification of a K1-like family of killer toxins in budding yeasts of the saccharomycotina,https://doi.org/10.1371/journal.pgen.1009341
FY2021,Sadeghi,Rohollah,Agricultural and Life Sciences,"Entomology, Plant Pathology and Nematology",Postdoctoral researcher,Scientific Reports,Springer Nature,Interspecific interactions within a vector-borne complex are influenced by a co-occurring pathosystem,https://doi.org/10.1038/s41598-021-81710-w
FY2021,Sadeghi,Rohollah,Agricultural and Life Sciences,"Entomology, Plant Pathology and Nematology",Postdoctoral researcher,Scientific Reports,Springer Nature,Mayetiola destructor (Diptera: Cecidmyiidae) host preference and survival on small grains with respect to leaf reflectance and phytohormone,https://doi.org/10.1038/s41598-021-84212-x
FY2021,Sarathchandra,Dilshani,"Letters, Arts and Social Sciences",Sociology and Anthropology,Faculty,Climate,MDPI,A survey instrument to measure skeptics� (dis)trust in climate science,https://doi.org/10.3390/cli9020018
FY2021,Schiele,Nathan,Engineering,Chemical and Biological Engineering,Faculty,Biosensors,MDPI,Dielectrophoretic characterization of tenogenically differentiating mesenchymal stem cells,https://doi.org/10.3390/bios11020050
FY2021,Stenkamp,Deborah,Science,Biological Sciences,Faculty,Frontiers in Cell and Developmental Biology,Frontiers,Selective requirements for vascular endothelial cells and circulating factors in the regulation of retinal neurogenesis,https://doi.org/10.3389/fcell.2021.628737
FY2021,Unlu,Gulhan,Agricultural and Life Sciences,"Animal, Veterinary and Food Sciences",Faculty,Microorganisms,MDPI,Bacterial populations in international artisanal kefirs,https://doi.org/10.3390/microorganisms8091318
FY2021,Vasdekis,Andreas,Science,Physics,Faculty,Scientific Reports,Springer Nature,Integrative quantitative-phase and airy light-sheet imaging,https://doi.org/10.1038/s41598-020-76730-x
FY2021,Wallen,Kenneth,Natural Resources,Natural Resources and Society,Faculty,Global Ecology and Conservation,Elsevier,Stakeholder perspectives on raptor conservation and falconry in north america,https://doi.org/10.1016/j.gecco.2020.e01280
FY2021,Wardropper,Chloe,Natural Resources,Natural Resources and Society,Faculty,International Journal of Environmental Research and Public Health,MDPI,Perceived risk and intentions to practice health protective behaviors in a mining-impacted region,https://doi.org/10.3390/ijerph17217916
FY2021,Zhao,Haiyan,Engineering,Chemical and Biological Engineering,Faculty,Electrochem,MDPI,Electrodeposition of aluminum in the 1-ethyl-3-methylimidazolium tetrachloroaluminate ionic liquid,https://doi.org/10.3390/electrochem2020013
FY2022,Dunkle,Matthew,College of Natural Resources,Fish and Wildlife Sciences,Enrolled graduate student,Ecosphere,Wiley,Fish carcasses alter subyearling Chinook salmon dispersal behavior and density but not growth in experimental mesocosms,https://doi.org/10.1002/ecs2.3856
FY2022,Caudill,Christopher,College of Natural Resources,Fish and Wildlife Sciences,Faculty,PLOS One,Public Library of Science,Technical fishway passage structures provide high passage efficiency and effective passage for adult Pacific salmonids at eight large dams,https://doi.org/10.1371/journal.pone.0256805
FY2022,Hegg,Jens,College of Natural Resources,Fish and Wildlife Sciences,Postdoctoral researcher,Ecosphere,Wiley,Let�s do the time warp again: non-linear time series matching as a tool for sequentially structured data in ecology,https://doi.org/10.1002/ecs2.3742
FY2022,Moler,Ehren,College of Natural Resources,"Forest, Rangeland and Fire Sciences",Postdoctoral researcher,Frontiers in Plant Science,Frontiers,Perspectives on drought preconditioning treatments with a case study using western larch,https://doi.org/10.3389/fpls.2021.741027
FY2022,Vasdekis,Andreas,College of Science,Physics,Faculty,Optics Express,Optical Society of America,Airy light-sheet raman imaging*,https://doi.org/10.1364/OE.435293
FY2022,Gilbert,Sophie,College of Natural Resources,Fish and Wildlife Sciences,Faculty,Ecosphere,Wiley,Spatial and temporal partitioning of mustelids in Southeast Alaska,https://doi.org/10.1002/ecs2.3827
FY2022,Bernards,Matthew,College of Engineering,Chemical and Biological Engineering,Faculty,PLOS One,Public Library of Science,Assessment of the performance of nonfouling polymer hydrogels utilizing citizen scientists,https://doi.org/10.1371/journal.pone.0261817
FY2022,Albulayhi,Khalid,College of Engineering,Computer Science,Enrolled graduate student,Sensors,MDPI,"IoT intrusion detection taxonomy, reference architecture and analyses",https://doi.org/10.3390/s21196432
FY2022,Stanley,Jessica,College of Science,Geography and Geological Sciences,Faculty,Geosphere,Geological Society of America,"Linking exhumation, paleo-relief, and rift formation to magmatic processes in the western Snake River Plain, Idaho, using apatite (U-Th)/He thermochronology*",https://doi.org/10.1130/GES02453.1
FY2022,Newcombe,George,College of Natural Resources,"Forest, Rangeland and Fire Sciences",Faculty,Phytopathologia Mediterranea,Firenze University Press,Adult-plant resistance to white rust in Lunaria annua,https://doi.org/10.36253/phyto-12805
FY2022,Aleisa,Mohammed Ahmed,College of Engineering,Computer Science,Enrolled graduate student,Sensors,MDPI,Examining performance in fog-aided cloud-centered IoT in a real-world environment,https://doi.org/10.3390/s21216950
FY2022,Peng,Ching-An,College of Engineering,Chemical and Biological Engineering,Faculty,Pharmaceutics,MDPI,Eradication of Myrosinase-Tethered Cancer Cells by Allyl Isothiocyanate Derived from Enzymatic Hydrolysis of Sinigrin,https://doi.org/10.3390/pharmaceutics14010144
FY2022,Ibrahim,Ahmed,College of Engineering,Civil and Environmental Engineering,Faculty,Fibers,MDPI,"Mechanical, Durability and Corrosion Properties of Basalt Fiber Concrete",https://doi.org/10.3390/fib10020010
FY2022,Popova,Inna,College of Agricultural and Life Sciences,Soil and Water Systems,Faculty,Plants,MDPI,High-performance liquid chromatography mass spectrometry analysis of glycoalkaloids from underexploited Solanum species and their acetylcholinesterase inhibition activity,https://doi.org/10.3390/plants11030269
FY2022,Kobziar,Leda,College of Natural Resources,Natural Resources and Society,Faculty,ISME Communications,Springer Nature,"Wildland fire smoke alters the composition, diversity, and potential atmospheric function of microbial life in the aerobiome",https://doi.org/10.1038/s43705-022-00089-5
FY2022,Grieshaber,Scott,College of Science,Biological Sciences,Faculty,PLOS One,Public Library of Science,Translational gene expression control in Chlamydia trachomatis*,https://doi.org/10.1371/journal.pone.0257259
FY2022,Gilbert,Sophie,College of Natural Resources,Fish and Wildlife Sciences,Faculty,Frontiers in Ecology and Evolution,Frontiers,"Potential futures for coastal wolves and their ecosystem services in Alaska, with implications for management of a social-ecological system",https://doi.org/10.3389/fevo.2022.809371
FY2022,Du,Xiaoxue ,College of Agricultural and Life Sciences,Agricultural Economics and Rural Sociology,Faculty,Journal of Risk and Financial Management,MDPI,"Price and Volatility Transmissions between Natural Gas, Fertilizer, and Corn Markets: A Revisit",https://doi.org/10.3390/jrfm15020091
FY2022,Moller,Gregory,College of Agricultural and Life Sciences,Soil and Water Systems,Faculty,Applied Sciences,MDPI,Comparison of X-Ray Fluorescence (XRF) and Atomic Absorption Spectrometry (AAS) Results for an Environmental Assessment at a Mercury Site in Kyrgyzstan,https://doi.org/10.3390/app12041943
FY2022,Alazmi,Suliman,College of Engineering,Computer Science,Enrolled graduate student,IEEE Access,IEEE,A Systematic Literature Review on the Characteristics and Effectiveness of Web Application Vulnerability Scanners,https://doi.org/10.1109/ACCESS.2022.3161522
FY2022,Marx,Christopher,College of Science,Biological Sciences,Faculty,Frontiers in Microbiology,Frontiers,Aerobic methoxydotrophy: growth on methoxylated aromatic compounds by Methylobacteriaceae*,https://doi.org/10.3389/fmicb.2022.849573
FY2022,Rowley,Paul,College of Science,Biological Sciences,Faculty,Viruses,MDPI,The Characterization of a Novel Virus Discovered in the Yeast�Pichia membranifaciens,https://doi.org/10.3390/v14030594
FY2022,Van Leuven,James,College of Science,Biological Sciences,Faculty,mSystems,American Society for Microbiology,Global composition of the bacteriophage community in honey bees,https://doi.org/10.1128/msystems.01195-21
