year,title,presenter,department,description,type,file,url,video
2025,"GIS Day @ U of I 2025 schedule",U of I Library,,"Web archive capture of GIS Day @ U of I page provides access to 2025 program and information. Theme 'GIS on the Palouse'.",Program,,https://perma.cc/J6LU-BNL9,
2025,Water Management on the Palouse Basin,Michel Faupel,Palouse Basin Aquifer Committee (PBAC),"The Palouse region relies solely on groundwater and our declining aquifers are shared between several entities. The Palouse Basin Aquifer Committee monitors and reports on water usage, and is working to provide long-term and high quality water sources to the region.",Keynote,Faupel_gisday2025.pdf,,https://youtu.be/NJLwcKlFWdE
2025,Tackling Idaho's Healthcare Workforce Needs: Geospatial Insights to Guide Next Steps,Yesol Sapozhnikov,"School of Health and Medical Professions, University of Idaho","ECHO (Extension for Community Healthcare Outcomes) Idaho is a tele-education program that offers expert training and peer support for providers in rural and frontier communities. We will present how IOURMR researchers analyzed the program enrollment data using GIS tools to evaluate participation patterns and identify regions that need more outreach and engagement.",Short Talk,Sapozhnikov_gisday2025.pdf,,https://youtu.be/NJLwcKlFWdE?t=2300
2025,Using GIS & Remote Sensing Data to Assess Crop Yield,Sarah Olson,"Soil & Water Systems, University of Idaho","Through an ongoing research project for the Coeur D'Alene Tribe, we are attempting to determine whether evapotranspiration (ET) is a useful metric for evaluating crop yield. Using remote sensing data, we aim to create a model using ET that can predict whether a field's yield is 'productive' or 'unproductive,' so land managers from the Tribe can target areas for environmental management.",Short Talk,Olson_gisday2025.pdf,,https://youtu.be/NJLwcKlFWdE?t=2300
2025,City LLMs: computational urban planning of tomorrow,Gil Rezin,"Computer Science, Washington State University","An insight into the future of urban planning and land use modelling from the perspective of AI researchers, particularly through the usage of Large Language Models. Through transformer and diffusion models, the urban planning process has the potential to be transformed, reducing labor intensity while increasing municipal efficiency and community input.",Short Talk,Rezin_cityllm_gisday2025.pdf,,https://youtu.be/NJLwcKlFWdE?t=2300
2025,GIS and Wildfire Resiliency at Avista,Phil Larkin,Avista,"Avista has invested heavily in GIS technology over the past 35 years. This focus on geospatial data and analysis has been integral in the development of the Wildfire Resiliency program. Matt Ugaldea, Program Manager and Phil Larkin, Senior GIS Analyst will discuss the history of the program and exciting ways GIS is empowering decision making.",Short Talk,Larkin_GISDay2025_WildfireResiliency.pdf,,https://youtu.be/NJLwcKlFWdE?t=4666
2025,Annexation Action: Streamlining Tax Code Administration in Idaho with GIS,Paul Reyes,Idaho State Tax Commission,"This presentation explains how the Idaho State Tax Commission leverages GIS technology for managing tax code areas and taxing district annexations to ensure accurate property tax assessment and collection statewide. By following clearly defined steps, the ISTC maintains compliance, prevents jurisdictional overlap, and provides timely updates to all parties. The ISTC's GIS team works closely with counties and supports their cadastral mapping efforts and the effective visualization of their parcels.",Short Talk,Reyes_GIS Day_20251119.pdf,,https://youtu.be/NJLwcKlFWdE?t=4666
2025,Statewide Materials Management Plan (SMMP),Manda Wood,Alta Science and Engineering,"Idaho DEQ received funding to support development of a Statewide Materials Management Plan (SMMP). Because Idaho does not mandate reporting from facilities accepting waste, statewide data was needed to start the planning process. DEQ contracted Alta Science & Engineering to create an interactive web mapping application integrating ESRI's Experience Builder with a custom reporting tool. Through the form and associated web map, DEQ can establish baseline data, identify gaps, set goals, track progress, and compare future results.",Short Talk,Wood_GISDay2025_SWIFR.pdf,,https://youtu.be/NJLwcKlFWdE?t=4666
2025,"Locavores, Foodsheds, and Food Futures: An Almanac for the Palouse",Dan Cronan,"Design and Construction, Washington State University","The project explores how geospatial storytelling and community-based mapping can help visualize the relationships between local food systems, land use, and climate resilience across the Palouse region. This project uses GIS visualization tools to prototype a digital almanac which featuring pilot sites and work from organizations like Koppel Farm, City of Pullman's Environmental Resilience Commission, and local community gardens that connects data, narratives, and design to envision a more sustainable and self-reliant regional foodshed.",Short Talk,,https://storymaps.arcgis.com/stories/b08aa4b828024e6fb822f876cae565d0,https://youtu.be/NJLwcKlFWdE?t=4666
2025,GIS at the Crossroads: Building Data-Driven Freight Solutions for Pullman and Whitman County,Melissa Cleveland; Cody Hodgson,Welch Comer Engineering,"The Pullman-Whitman County Freight Alternatives Study, completed in 2025 for the Palouse Regional Transportation Planning Organization, used GIS analysis to identify practical freight corridors that could divert heavy truck traffic away from downtown Pullman, Washington. This presentation explores how GIS tools enabled data-driven collaboration among regional partners in both Washington and Idaho.Presenters will discuss the process of layering spatial data, travel modeling, and public feedback to rank alternative freight routes, as well as how GIS visualization strengthened community understanding and consensus. Attendees will gain insight into replicable techniques for multi-jurisdictional freight studies, integrating GIS analytics into route evaluation, and effectively communicating technical findings to non-technical audiences.",Special Topic,Cleveland_Hodgson_GISDay2025.pdf,https:/whitmantruckroutes.org,https://youtu.be/NJLwcKlFWdE?t=7713
2025,"Integrating GIS, LiDAR, and AI Tools for Quality of Individual Tree Segmentation", Edward Flathers,"College of Natural Resources Forest Innovations Institute, University of Idaho","LiDAR has become a more common tool for forest inventory, and as LiDAR technology has advanced, data resolution has increased to allow for identification of individual trees in forests. Algorithms attempt to segment individual trees from LiDAR point clouds with varying levels of success. How can we measure the quality of segmentation and provide a quantitative confidence for individual tree inventory?",Short Talk,Flathers_gisday2025.pdf,,https://youtu.be/NJLwcKlFWdE?t=10494
2025,Distribution design and the utilization of GIS,Eric Hildebrand,"CPC Wood Pole Management, Avista Utilities","Utility distribution design utilizing GIS systems.",Short Talk,Hildebrand_GIS_Day_2025.pdf,,https://youtu.be/NJLwcKlFWdE?t=14293
2025,StoryMap to share successes of the USDA-ARS Long-Term Agroecosystem Research (LTAR) Network,Alycia Bean,"Crop and Soil Sciences, Washington State University","The Long-Term Agroecosystem Research (LTAR) Network is a USDA_ARS flagship initiative comprising 19 research sites, over 20 interdisciplinary working groups, and more than 700 active participants. Together, we advance integrated, stakeholder-informed science that addresses pressing challenges in agricultural sustainability. Example of ESRI StoryMap to highlight our successes.",Short Talk,Bean_GISDay2025.pdf,https://ltar-usdaars.hub.arcgis.com/apps/a4335135754e41e994b411344137b48b/explore,https://youtu.be/NJLwcKlFWdE?t=14293
2025,Using GIS to Optimize Soil Moisture Sensor Deployment and Plot Delineation in Cambistch Farm,Robel Alemayehu,"Chemical and Biological Engineering, University of Idaho","I will share how GIS was used to optimize the location of soil moisture sensor deployment and delineate biochar treatment plots at Cambistch Farm. The work demonstrates how spatial analysis supports precise experimental design.",Short Talk,Alemayehu_Robel_GIS_Cambistch_Farm.pdf,,https://youtu.be/NJLwcKlFWdE?t=14293
2025,"Fusing Domain Knowledge, LLMs, and GIS: A New Framework for Mineral Prospecting", Weilin Chen,"Computer Science, University of Idaho","This talk explores how combining expert geologic knowledge with GIS and AI helps identify potential mineralization patterns more accurately. We use an NSAI approach to link maps, domain rules, and machine learning in a transparent, explainable way.",Short Talk,Weilin_GIS_NSAI.pdf,,https://youtu.be/NJLwcKlFWdE?t=14293
