category,question,answer
Fall 2020,What's the deadline for having reserve materials available by the first day of school?,"**August 17th**. We're happy to add readings to your course materials after that date, with the caveat that your requests will be added to the queue in the order in which they were received. Please also note that our reserve system uploads on a 24 hour cycle, eliminating the likelihood of same-day access regardless of queue length. Be sure to get us your requests early to avoid delays!"
Fall 2020,Can I put a print book on course reserves this fall?,"Yes, although we will also be working with you to identify electronic versions of your existing course materials. Following the latest [Safety guidelines](https://www.imls.gov/news/research-shows-virus-undetectable-five-highly-circulated-library-materials-after-three-days) for libraries, all physical reserve items will be quarantined for 3 days after each use, meaning print materials will not be as consistently accessible to your students as in prior semesters. In contrast, e-books or scanned book chapters provide the most flexibility and consistent access to students regardless of course delivery over the semester. Please contact your [subject liaison](https://www.lib.uidaho.edu/about/liaisons.html) to explore electronic options such as ebooks, articles, or streaming video."
Fall 2020,Why should I have online course reserves if we are having an in-person semester?,"Physical items, especially high-touch items like print reserves, have pandemic-related safety issues and are less flexible in the event that students need to self-isolate, are ill, or when courses go online after Thanksgiving. Virtual or electronic reserves allow us the opportunity to provide consistent access to the greatest number of students, regardless of course delivery method this fall. We will be working with course instructors to make electronic access available as a backup for your students. "
Fall 2020,How can I make my existing print course readings available electronically?,"In many cases, the library may be able to purchase an e-book of your course text or secure licensing for streaming video, or we can work with you to digitize sections of your print textbook depending on the results of a [fair use analysis](https://www.lib.uidaho.edu/services/reserve/fairuse.html). Please email libreserve@uidaho.edu to begin the process. "
Fall 2020,Can the library just scan my textbook and put that online?,"Kind of. Due to [fair use guidelines](https://www.lib.uidaho.edu/services/reserve/fairuse.html), we can't digitize a textbook and place the whole copy online. However, we can digitize sections of textbooks, and we're happy to work with you to determine whether scanning a print book or a library e-book is the best solution for you. "
Fall 2020,I want the library to buy an e-book for use by my class. How do I do that?,"Reach out to your [liaison librarian](https://www.lib.uidaho.edu/about/liaisons.html) as soon as possible. We can work with publishers and vendors to see if an e-book is available for your course text, and if so, purchase a license for the content. There are many variables when it comes to e-books, so if an e-book is not available for your course text, we will do whatever we can to explore other options."
Fall 2020,"I teach a film class, how can I place videos on reserve?","The library has several [streaming platforms](https://www.lib.uidaho.edu/services/reserve/video.html), including Kanopy and Swank, and in many cases we can provide virtual options for physical DVDs. If you need to view a streaming video from a provider other than Kanopy or Swank, or for more information please contact Jodi Haire (haire@uidaho.edu), your [subject liaison](https://www.lib.uidaho.edu/about/liaisons.html), or libreserve@uidaho.edu. "
Fall 2020,I'm still adding readings to my course and want to explore other virtual options. Where should I look?,"Your [liaison librarian](https://www.lib.uidaho.edu/about/liaisons.html) can help you find virtual options, either through our electronic databases, streaming media platforms, or [open educational resources](https://libguides.uidaho.edu/oer). Options include: 

- Identifying already licensed library resources that could meet your needs.
- Scanning portions of print materials within fair use and provide pdfs through course reserves.
- Identifying streaming options for some DVDs owned by the library.
- Licensing available streaming media as requested by instructors.
- Requesting e-books for purchase when possible."
Fall 2020,How do I access materials from off-campus?,"We have a full page dedicated to that, check the [Covid-19 access page](https://www.lib.uidaho.edu/covid19/access.html)."
Leganto,What is Leganto?,Leganto is a library plug-in that allows students to access library course reserves directly from your BBLearn course. It is an additional feature of our existing library systems. Learn more on our [Leganto information page](/services/reserve/leganto.html)
Leganto FAQ,How do I get Leganto?,Leganto is already embedded in your BBLearn course; you just have to activate it. Follow our [guide to activate Leganto](/services/reserve/leganto.html) and make your reading lists available from within your course.
Leganto FAQ,What are the benefits of using Leganto?,"The most significant benefit is to your students, who can now access library course reserves directly from BBLearn. The library will be expanding instructor permissions over the next year, allowing instructors to have more agency in adding materials to their library course reserves. More training and information coming soon!"
Leganto FAQ,I don’t use library course reserves but I do have readings linked in my BBLearn course. Can I use Leganto?,Yes! We can work with you to activate Leganto for your course; please email libreserve@uidaho.edu and we can help you get started on the process.
Leganto FAQ,Do I have to use Leganto?,"No. Library course reserves will continue to be available to your students on our library website, regardless of whether or not you activate Leganto in BBLearn."
Leganto FAQ,I need help activating Leganto or I have more questions,We're happy to help; please email libreserve@uidaho.edu and we can walk you through the process and answer any questions you might have. 
Requests,Do I need to fill out a request form when I submit materials for Ereserve?,"Yes, as the form will prompt you for all the information we are required to have on file. Identify items in the same manner as the appear in your syllabus. We will list them in a similar manner on the system unless you give us instructions to group them differently."
Requests,Do I need to fill out the form each time I add materials to Reserves for an existing class?,"No, not as long as all the pertinent information is provided instructor's name, class and course number, full citation, and whether it's new material or pages that you've used for this class previously. Using the form is usually easier than remembering all the required information each time."
Requests,What's the best way to submit a request?,"With an on-line or in-library form, at least 2 weeks before the start of the semester, and using primarily electronic materials or copies that are ready for scanning."
Requests,Can you just clean up and recopy my personal photocopies for scanning?,This needs to be done at your end. Materials submitted that are not ready for scanning will be put on In-Library Reserves or returned to you. We prefer to copy or scan from the original source.
Requests,Can I just send you my reading list?,"Submitting a reading list is acceptable, but is a much slower process. Allow more lead-time for obtaining call numbers, pulling the items and copying."
Requests,Can I put the same materials on In-Library Reserve?,"No, we have chosen not to duplicate the effort."
Requests,If I teach a class every semester or every other semester and want to use the same materials will you just leave the class available on the Ereserve site?,"We are unable to leave the class up due to the copyright policies, but it can be retrieved easily enough. Contact the <a href=""mailto:libreserve@uidaho.edu"">Reserve Desk</a> for the specifics."
