item,location,category,description,image,booking_link,acquisition_date,loan,fine,replacement_cost,quantity,product_link,barcode,note,catalog_note
Studio Key,circulation,Miscellaneous,The key to acces the Studio can be checked out from the Circulation Desk at the time of your booking.,,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP996299213001851,,2 hours,$5/hour,$20,1,,206012349141,"should change to 2 hours in primo under ""POLICY""",
iMac,studio,Computers,"The Retina 5K, 27-inch iMac features the following software applications installed on the machine: Adobe Creative Cloud applications (Premiere, Photoshop, Illustrator, Audition, After Effects, etc.), Logic Pro X, MainStage, GarageBand, Audacity, iZotope RX 6, Final Cut Pro, iMovie, Camtasia, and more. ",iMac.jpg,,2017,,,"$2,300",1,https://www.apple.com/shop/buy-mac/imac-imac/27-inch-3.8ghz-8-core-processor-with-turbo-boost-up-to-5.0ghz-512gb,,, cataloged
Monitor,studio,Computer Accessories,"The 32″ full-HD VicTek monitor has a 20,000:1 dynamic contrast ratio for deeper blacks and brighter whites and 60Hz refresh rate for continually bright images.",Monitor.jpg,,2017,,,$250,1,https://www.amazon.com/VIOTEK-Computer-Monitor-1920x1080-H320/dp/B01J4ES6WQ/,,, cataloged
Audio Interface,studio,Audio Equipment,"The MOTU 1248 Thunderbolt Audio Interface features four mic inputs, two dedicated hi-Z guitar inputs, 8 x 12 balanced analog with separate main and monitor outs, 2 x 8-channel ADAT optical, and RCA S/PDIF (with sample rate conversion), for a total of 32 inputs and 34 outputs.",AudioInterface.jpg,,2017,,,"$1,500",1,https://www.amazon.com/MOTU-32x34-Thunderbolt-Audio-Interface/dp/B00M1XNLHI/,,, cataloged
Audio Monitor,studio,Audio Equipment,"KRK's Rokit 5 G3 (Generation 3) powered studio monitors offer professional performance and accuracy for recording, mixing, mastering and playback.",AudioMonitor.jpg,,2017,,,$300,2,https://www.amazon.com/KRK-RP5G3W-NA-Generation-Powered-Monitor/dp/B00HHZUTQQ/,,, cataloged
Compressor,studio,Audio Equipment,"The dbx 266xs 2-channel Compressor/Gate features dynamics control for any program material, program-adaptive expander/gates, LEDs for gain reduction, compression and gate threshold, and stereo or dual-mono operation.",Compressor.jpg,,2017,,,$200,1,https://dbxpro.com/en/products/266xs,,, cataloged
AKAI MPK Mini,studio,Audio Equipment,"MPK mini is an ultra-compact keyboard for singer-songwriters, beat makers, and electronic musicians to create music.",AKAIMPKMini.jpg,,2017,,,$100,1,https://www.amazon.com/Akai-Professional-MPK-Ultra-Portable-Controller/dp/B00IJ6QAO2/,,, cataloged
Data Hub,studio,Computer Accessories,The Anker 10 Port 60W Data Hub offers seven ports for high-speed data transfer of up to 5Gbps and three ports that charge of up to 2.1 amps.,DataHub.jpg,,2017,,,$40,1,https://www.amazon.com/gp/product/B00VDVCQ84/,,, cataloged
Cassette Deck,CDIL,Audio Equipment,"Tascam 202MKVII Double Cassette Recorder Deck features a dual twin-head decks can each be used for recording or playback (or can be used together), parallel recording function records audio to both decks simultaneously, and a microphone input that can be mixed with cassette 1 audio and recorded real time to cassette 2 for karaoke or voice over applications.",CassetteDeck.jpg,,2021,,,,1,https://www.amazon.com/Tascam-202MKVII-Double-Cassette-Recorder/dp/B07DKRZ4QB,,, cataloged
Reel-to-Reel Recorder,CDIL,Audio Equipment,"The Pioneer Auto Reverse Direct Drive RT-707 Recorder features a low profile rack mount design with 7"" reels and auto reverse playback.",Reel-to-ReelRecorder.jpg,,2017,,,,1,,,, cataloged
Amplifier,studio,Audio Equipment,"The Hafler P4000 is a three rack height, two channel professional power amplifier for studio monitoring, touring sound and fixed installations.",Amplifier.jpg,,2017,,,,1,,,,cataloged
HDMI to USB3.0 Video Capture,studio,Video Equipment,"The HDMI to USB3.0 Video Capture Dongle can capture one single channel HD HDMI video signals from sources such as Blu-Ray Player, Play Station, audio/video receiver, satellite receivers, SLR cameras with HDMI output. The input and output video signal can reach 1080p/60hz.",VideoCapture.jpg,,2017,,,$150,1,https://www.amazon.com/Capture-Rongyuxuan-USB3-0-Drive-Free-Windows/dp/B01JZAYQCS,,, cataloged
Omnidirectional Lavalier Microphone,studio,Audio Equipment,"The Countryman B3 Omnidirectional Lavalier Microphone is water resistant, makeup resistant, has low handling noise, and can handle high sound levels up to 150dB SPL.",OmnidirectionalLavalierMicrophone.jpg,,2017,,,$250,1,https://countryman.com/product/b3-omnidirectional-lavalier/,,,cataloged
Shure SM57 Microphone,studio,Audio Equipment,The SM57 features a uniform cardioid pick-up pattern that isolates the main sound source and minimizes background noise.,ShureSM57Microphone.jpg,,2017,,,$100,1,https://www.amazon.com/Shure-SM57-LC-Cardioid-Dynamic-Microphone/dp/B0000AQRST/,,,cataloged
Shure SM58 Microphone,studio,Audio Equipment,"The Shure SM58 Dynamic Vocal Microphone utilizes a highly effective, built-in, spherical filter that minimizes wind and breath pop noise while the cardioid pickup pattern isolates the main sound source and minimizes unwanted background noise.",ShureSM58Microphone.jpg,,2017,,,$100,2,https://www.amazon.com/Shure-SM58-LC-Cardioid-Microphone-%20without/dp/B000CZ0R42/,,,cataloged
