collection,description,link,img,category
Special Collections & Archives,"Special Collections and Archives houses primary source materials including personal and organizational records, university archives, rare books, manuscripts, and historical photographs; these and other materials support research into nearly all facets of the history of Idaho and the Pacific Northwest.",/special-collections/,oldadmin.jpg,campus
Digital Collections,"Digital Collections is a continually growing, searchable database that provides access to rare and unique collections to enhance and support research and education at the University of Idaho. The primary subjects include historical Idaho and the jazz collections.",https://www.lib.uidaho.edu/digital/,fatmen.jpg,digital
Theses & Dissertations,"Browse and search over 10,000 records for Theses and Dissertations completed at the University of Idaho. Full-text versions of some recent dissertations are available as well.",/find/etds.html,stacks.jpg,scholarly
Gov. Documents,"The Government Documents department receives 100% of the federal publications, maps, and electronic data distributed by the Government Printing Office. This comprehensive collection contains 1.7 million items.",/find/govdocs/,congress.jpeg,idaho
Gary Strong Curriculum Center,"The Gary Strong Curriculum Center, previously known as the IMTC, provides resources and space to meet the academic and instructional objectives of the students and faculty at the College of Education.",/services/curriculumcenter.html,gscc.jpg,campus
INSIDE Idaho,"INSIDE Idaho is the clearinghouse for digital geospatial information for the state of Idaho. This site serves as the mechanism to share data, resources, technologies and expertise.",http://insideidaho.org/,moscow_topo.jpeg,idaho
VIVO - Institutional Repository,"VIVO is a research-focused discovery tool that enables collaboration across all disciplines at the University of Idaho. Fed from institutional and publicly accessible data, VIVO includes a network of experts, web profiles, and an archive of publications.",http://vivo.nkn.uidaho.edu/vivo/,vivo.jpeg,scholarly
International Jazz Collections,"The International Jazz Collections (IJC) is the premiere jazz archive of the Pacific Northwest. Featuring the personal papers of the legendary Lionel Hampton and other great jazz artists and critics, the IJC enables research with primary historical sources.",http://www.ijc.uidaho.edu/,008.jpg,digital
Maps,"The map room is located on the northwest corner of the first floor of the Library, and contains atlases, extensive topographic maps of Idaho and the United States, historic aerial photographs of Idaho, and much more.",/find/maps/,map.jpeg,idaho
Alfred W. Bowers Laboratory of Anthropology,"The Alfred W. Bowers Laboratory of Anthropology is an independent unit of the Department of Sociology and Anthropology in the College of Letters, Arts and Social Sciences. The laboratory contains over 4,000 books and manuscripts, all of which can be found in the UI Library catalog. Lab materials do not circulate and must be used in the lab itself.  The lab is located at 404 Sweet Avenue. Lab hours vary, so please contact the 208-885-1771 for questions about access.",https://www.uidaho.edu/class/anthrolab,anthro_aac.jpg,campus
