last,first,id,dept,rank,pub,publoc,publink,pubtype,deptid
Abatzoglou,John,n6001,Geography,Associate Professor,Shifts in the thermal niche of almond under climate change,Climatic Change,https://link.springer.com/article/10.1007%2Fs10584-017-2118-6,article,n9521
Baker,Russell,pid52065,Movement Sciences,Assistant Professor,A Data Set of Human Body Movements for Physical Rehabilitation Exercises,Data,http://www.mdpi.com/2306-5729/3/1/2,article,n7928
Bernards,Matthew,n95030,Chemical & Materials Engineering,Assistant Professor,Key features and updates for origin 2018,Journal of cheminformatics,https://jcheminf.springeropen.com/articles/10.1186/s13321-018-0259-x,article,n13454
Brooks,Erin,n45006,Soil and Water Systems,Associate Professor,Evaluating opportunities for an increased role of winter crops as adaptation to climate change in dryland cropping systems of the U.S. Inland Pacific Northwest,Climatic Change,https://link.springer.com/article/10.1007%2Fs10584-017-1950-z,article,n140645
Carr-Chellman,Alison,n221214,Curriculum & Instruction,Professor,Games for boys: a qualitative study of experiences with commercial off the shelf gaming,Educational Technology Research and Development,https://link.springer.com/article/10.1007%2Fs11423-017-9548-8,article,n1232
Coleman,Mark,a3475615869118,"Forest, Rangeland & Fire Sciences",Associate Professor,Idaho forest growth response to post-thinning energy biomass removal and complementary soil amendments,Global Change Biology - Bioenergy,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcbb.12486,article,n49106
Eitel,Karla,pid990042,Natural Resources and Society,Research Associate Professor,Using outdoor adventure to enhance intrinsic motivation and engagement in science and physical activity: An exploratory study,Journal of Outdoor Recreation and Tourism,https://www.sciencedirect.com/science/article/pii/S2213078018300082?via%3Dihub,article,n39633
Freeman,Sydney,n126988,Leadership & Counseling,Associate Professor,The Manuscript Dissertation: A Means of Increasing Competitive Edge for Tenure-track Faculty Positions,International Journal of Doctoral Studies,https://doi.org/10.28945/4093,article,n23913
Fulton,Ruby,n115896,Lionel Hampton School of Music,Assistant Professor,"1 in 10,000: A New Composition for Wind Ensemble and Electronics",University of Idaho Research Council Seed Grant,n60650,grant,n4975
Gessler,Paul,pid990123,"Forest, Rangeland & Fire Sciences",Professor,Building an Open Science Framework to Model Soil Organic Carbon,Journal of Environmental Quality,https://doi.org/10.2134/jeq2017.08.0318,article,n49107
Harrington,Kyle,n100565,Virtual Technology & Design,Assistant Professor,FunImageJ: a Lisp framework for scientific image processing,Bioinformatics,https://academic.oup.com/bioinformatics/article/34/5/899/4587585,article,n9821
Jones,Adam,n346873,Biological Sciences,Professor,Substantial differences in bias between single-digest and double-digest RAD-seq libraries: A case study,Molecular Ecology Resources,https://onlinelibrary.wiley.com/doi/abs/10.1111/1755-0998.12734,article,n6256
Kolden,Crystal,n15307,"Forest, Rangeland & Fire Sciences",Assistant Professor,Accounting for disturbance history in models: using remote sensing to constrain carbon and nitrogen pool spin-up.,Ecological Applications,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/eap.1718,article,n49108
Ma,Marshall (Xiaogang),n33091,Computer Science,Assistant Professor,"Linked Geoscience Data in practice: where W3C standards meet domain knowledge, data visualization and OGC standards",Earth Science Informatics,https://link.springer.com/article/10.1007%2Fs12145-017-0304-8,article,n9880
Martin,Bryn,n78599,Biological Engineering,Assistant Professor,A Retrospective 2D Morphometric Analysis of Adult Female Chiari Type I Patients with Commonly Reported and Related Conditions,Frontiers in neuroanatomy,https://www.frontiersin.org/articles/10.3389/fnana.2018.00002/full,article,n13535
Miller,Brant,pid54077,Curriculum & Instruction,Associate Professor,Indigenous cultural contexts for STEM experiences: snow snakes’ impact on students and the community,Cultural Studies of Science Education,https://doi.org/10.1007/s11422-016-9738-4,article,n1232
Morishita,Don,n5921,Plant Sciences,Professor,Confirmation of Glyphosate-Resistant Kochia (Kochia scoparia) from Sugar Beet Fields in Idaho and Oregon,Weed Technology,https://www.cambridge.org/core/journals/weed-technology/article/confirmation-of-glyphosateresistant-kochia-kochia-scoparia-from-sugar-beet-fields-in-idaho-and-oregon/508C180DF2DB91E4A85005BC96E98625,article,n166226
Murdoch,Brenda,n15954,Animal & Veterinary Science,Assistant Professor,A SNP resource for studying North American moose.,F1000Research,https://f1000research.com/articles/7-40/v1,article,n23012
Olsen,Nora,n56467,Plant Sciences,Professor,"The Impact of Retail Light Source on Greening of Russet Burbank Potato Tubers",American Journal of Potato Research,https://doi.org/10.1007/s12230-017-9616-y,article,n166226
Peng,Ching-An,n428658,Biological Engineering,Professor,Enhanced astaxanthin accumulation in Haematococcus pluvialis using high carbon dioxide concentration and light illumination,Bioresource Technology,https://www.sciencedirect.com/science/article/pii/S0960852418302712?via%3Dihub,article,n13535
